c0,c1,c2,c3
2596541.1011948083,17072324.42446357,2558323.275536174,12345561.748866731
2563707.4283203655,16929052.199359324,2468656.746762949,12212494.97199728
2533439.0720808539,16768505.713483986,2357730.2065058229,12067585.437417597
2508298.4030315671,16610018.594583545,2297913.4986450505,11936309.328011272
2483910.3753858423,16464017.294805855,2267181.9715606472,11811878.21110736
2461194.4738688176,16401093.164683841,2269167.3828629721,12122393.379461315
2440331.9168365835,16281320.471053215,2245699.8253856292,12017353.454329068
2439469.3491997458,16169928.96148012,2220106.9683470358,11887629.486403069
2421159.1894457173,16061914.182240125,2195473.2441870742,11762713.574780229
2413493.1001765402,15960254.584635276,2169549.6128632613,11637060.257734377
2396692.7602475975,15870956.739883842,2150526.0395967751,11529787.095240228
2385530.1724777613,15793904.178053576,2132394.8425024166,11445843.123325262
2372945.1578112124,15736402.526289977,2114846.9855595436,11376385.788323063
2364675.3110450339,15716257.022326892,2098367.1281996905,11311265.665064113
2351760.4754079301,15698711.164631171,2083119.5652465674,11249113.693175577
2339899.1050252337,15680214.19430835,2068663.0742739374,11205790.34490283
2334473.8479462024,15663393.268176759,2054101.0963676102,11217044.836830299
2331892.6908342969,15645739.790410945,2040646.3515974456,11157690.854690429
2329211.8225600584,15629084.797468845,2033901.9967286461,11115950.31491844
2382386.0082781618,15945628.545041583,2090768.7197231832,11475757.849120477
2401250.0232593212,16002463.518816752,2097418.9330217745,11640624.251007507
2567144.6558237462,16277540.215219326,2135532.717812269,11975980.884510262
2727365.328688364,16327420.07373995,2152225.2372593042,11937488.401886253
3331728.4693412967,16598566.712786596,2201604.9871846689,11993830.42825504
3439174.176818429,16642478.700591875,2189822.7832393185,11861608.476597758
4177373.1911113574,16872398.321882114,2191117.2637215927,11759640.027836861
4366155.588699786,17180691.800091028,2262915.3605654817,12058552.749281155
4058475.1552340193,17149648.314203598,2256199.3149475874,12082202.99720837
3857350.5993418903,17132520.391824275,2239488.5435691453,11947070.12528988
3454834.1238044202,16956788.720922314,2211396.5390958427,11782082.579435967
3126506.5190465818,16772491.115182633,2182703.5373242544,11614330.658874471
2880073.1149505465,16597894.860254869,2159545.2868659743,11457380.145354195
2747146.0302125746,16914208.898782611,2149651.5445950194,11676713.256986681
4141018.0015760711,17165646.451025985,2180620.9361044616,12199122.079193369
4273854.6009479444,17225218.580545902,2193609.9720885227,12151668.22120579
3856441.2351346528,17146085.658348311,2190924.7244313387,12040163.912725521
3439461.1304457029,17092830.874758121,2193196.8516589743,11935632.728269236
3144240.0684001353,17056207.79089212,2168873.0617494145,11766102.597422969
2930290.3538083034,17283215.577606909,2157684.3503909758,11605864.922174154
3189585.0662959986,18860107.185204707,2174413.3536137072,11757651.780136688
4950619.487203029,19338548.103320688,2251507.4351673056,12039069.698244913
4497759.8937174771,18699785.181158081,2217527.2714918354,11929858.84369239
3946856.0180387953,18644331.761427239,2275365.6764688897,11981057.111928027
